CustomerID,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,GeographyKey,DemographicsKey,ContractKey
3668-QPYBK,2,Yes,No,DSL,Yes,Yes,No,No,No,No,53.85,108.15,Yes,1,86,3239,Competitor made better offer,1,1,1
9237-HQITU,2,Yes,No,Fiber optic,No,No,No,No,No,No,70.7,151.65,Yes,1,67,2701,Moved,2,2,2
9305-CDSKC,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,99.65,820.5,Yes,1,86,5372,Moved,3,2,2
7892-POOKP,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,104.8,3046.05,Yes,1,84,5003,Moved,4,3,2
0280-XJGEX,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,103.7,5036.3,Yes,1,89,5340,Competitor had better devices,5,4,3
4190-MFLUW,10,Yes,No,DSL,No,No,Yes,Yes,No,No,55.2,528.35,Yes,1,78,5925,Competitor offered higher download speeds,6,5,4
8779-QRDMV,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,39.65,39.65,Yes,1,100,5433,Competitor offered more data,7,6,2
1066-JKSGK,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.15,20.15,Yes,1,92,4832,Competitor made better offer,8,1,5
6467-CHFZW,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,99.35,4749.15,Yes,1,77,5789,Competitor had better devices,9,7,2
8665-UTDHZ,1,No,No phone service,DSL,No,Yes,No,No,No,No,30.2,30.2,Yes,1,97,2915,Competitor had better devices,10,8,6
8773-HHUOZ,17,Yes,No,DSL,No,No,No,No,Yes,Yes,64.7,1093.1,Yes,1,74,3022,Competitor offered higher download speeds,11,9,1
6047-YHPVI,5,Yes,No,Fiber optic,No,No,No,No,No,No,69.7,316.9,Yes,1,66,2454,Competitor offered higher download speeds,12,4,2
5380-WJKOV,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,106.35,3549.25,Yes,1,65,2941,Competitor offered higher download speeds,13,4,2
8168-UQWWF,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,97.85,1105.4,Yes,1,70,5674,Competitor offered more data,14,2,3
7760-OYPDY,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,80.65,144.15,Yes,1,90,5586,Competitor offered more data,15,2,2
9420-LOJKX,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,99.1,1426.4,Yes,1,82,2966,Competitor offered more data,16,2,7
7495-OOKFY,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,80.65,633.3,Yes,1,69,5302,Competitor made better offer,17,10,7
1658-BYGOY,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,95.45,1752.55,Yes,1,81,3179,Competitor made better offer,18,11,2
5698-BQJOH,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,94.4,857.25,Yes,1,96,5571,Price too high,19,2,6
5919-TMRGD,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,79.35,79.35,Yes,1,87,2483,Product dissatisfaction,20,2,2
9191-MYQKX,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,75.15,496.9,Yes,1,70,3457,Service dissatisfaction,21,3,3
8637-XJIVR,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,78.95,927.35,Yes,1,86,5806,Lack of self-service on Website,22,2,2
0278-YXOOG,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,21.05,113.85,Yes,1,66,2604,Network reliability,23,1,5
